Experiment,Day,Subject,CS_Name,US_Name,AvgRewards,CS_PreCS,MagEntry_PreCS,MagEntry_CS
skr216_sPIT_Deval_1lever,1,29,Click,Sucrose,4,4,6.375,10.375
skr216_sPIT_Deval_1lever,1,29,Noise,Maltodextrin,3.75,1.875,9.875,11.75
skr216_sPIT_Deval_1lever,1,29,Tone,Pellet,3.5,6.25,6.875,13.125
skr216_sPIT_Deval_1lever,1,30,Click,Pellet,3.5,9.125,8,17.125
skr216_sPIT_Deval_1lever,1,30,Noise,Maltodextrin,3.5,1.375,11,12.375
skr216_sPIT_Deval_1lever,1,30,Tone,Sucrose,4.75,3.75,8.375,12.125
skr216_sPIT_Deval_1lever,1,31,Click,Pellet,3.25,3.875,8.125,12
skr216_sPIT_Deval_1lever,1,31,Noise,Sucrose,4,6.75,5.25,12
skr216_sPIT_Deval_1lever,1,31,Tone,Maltodextrin,4.25,5,5.125,10.125
skr216_sPIT_Deval_1lever,1,32,Click,Sucrose,4,6.25,3.25,9.5
skr216_sPIT_Deval_1lever,1,32,Noise,Maltodextrin,4.5,7.125,4.625,11.75
skr216_sPIT_Deval_1lever,1,32,Tone,Pellet,5,10.625,6.5,17.125
skr216_sPIT_Deval_1lever,2,9,Click,Maltodextrin,3.75,7.375,8,15.375
skr216_sPIT_Deval_1lever,2,9,Noise,Sucrose,3.25,10.125,7,17.125
skr216_sPIT_Deval_1lever,2,9,Tone,Pellet,4.5,9.625,6.625,16.25
skr216_sPIT_Deval_1lever,2,10,Click,Pellet,5.5,12.125,3.5,15.625
skr216_sPIT_Deval_1lever,2,10,Noise,Sucrose,2.75,6.75,5.125,11.875
skr216_sPIT_Deval_1lever,2,10,Tone,Maltodextrin,6.25,6.75,4.125,10.875
skr216_sPIT_Deval_1lever,2,11,Click,Sucrose,3,13.125,3.75,16.875
skr216_sPIT_Deval_1lever,2,11,Noise,Pellet,4.25,9.625,6,15.625
skr216_sPIT_Deval_1lever,2,11,Tone,Maltodextrin,5.75,6,6.75,12.75
skr216_sPIT_Deval_1lever,2,12,Click,Maltodextrin,3.25,9.875,4,13.875
skr216_sPIT_Deval_1lever,2,12,Noise,Pellet,4.5,14.5,6.125,20.625
skr216_sPIT_Deval_1lever,2,12,Tone,Sucrose,3.5,9.125,5,14.125
skr216_sPIT_Deval_1lever,2,13,Click,Sucrose,7,7.25,2,9.25
skr216_sPIT_Deval_1lever,2,13,Noise,Maltodextrin,3.75,5.375,4.5,9.875
skr216_sPIT_Deval_1lever,2,13,Tone,Pellet,4.25,6.875,4,10.875
skr216_sPIT_Deval_1lever,2,14,Click,Pellet,2.75,4.5,4,8.5
skr216_sPIT_Deval_1lever,2,14,Noise,Maltodextrin,2.5,12.375,3.625,16
skr216_sPIT_Deval_1lever,2,14,Tone,Sucrose,2,5.5,4.375,9.875
skr216_sPIT_Deval_1lever,2,15,Click,Pellet,6,5.75,6.125,11.875
skr216_sPIT_Deval_1lever,2,15,Noise,Sucrose,3.75,3.25,7.125,10.375
skr216_sPIT_Deval_1lever,2,15,Tone,Maltodextrin,4.5,3.875,4.125,8
skr216_sPIT_Deval_1lever,2,16,Click,Sucrose,5,2.75,2.75,5.5
skr216_sPIT_Deval_1lever,2,16,Noise,Maltodextrin,2.75,6,5.25,11.25
skr216_sPIT_Deval_1lever,2,16,Tone,Pellet,5,6.5,4.625,11.125
skr216_sPIT_Deval_1lever,2,17,Click,Maltodextrin,4,10,6.75,16.75
skr216_sPIT_Deval_1lever,2,17,Noise,Sucrose,2.5,11.5,8.125,19.625
skr216_sPIT_Deval_1lever,2,17,Tone,Pellet,5.75,7.625,8.5,16.125
skr216_sPIT_Deval_1lever,2,18,Click,Pellet,3.25,7,3.125,10.125
skr216_sPIT_Deval_1lever,2,18,Noise,Sucrose,4.5,12.875,2.25,15.125
skr216_sPIT_Deval_1lever,2,18,Tone,Maltodextrin,6,8.875,5,13.875
skr216_sPIT_Deval_1lever,2,19,Click,Sucrose,5,6.625,0.75,7.375
skr216_sPIT_Deval_1lever,2,19,Noise,Pellet,4.5,8.875,0.5,9.375
skr216_sPIT_Deval_1lever,2,19,Tone,Maltodextrin,4.75,4.625,1.25,5.875
skr216_sPIT_Deval_1lever,2,20,Click,Maltodextrin,2.5,3.75,7,10.75
skr216_sPIT_Deval_1lever,2,20,Noise,Pellet,5.25,17.75,8.875,26.625
skr216_sPIT_Deval_1lever,2,20,Tone,Sucrose,3.75,6.875,7.375,14.25
skr216_sPIT_Deval_1lever,2,21,Click,Sucrose,1.5,8,4.75,12.75
skr216_sPIT_Deval_1lever,2,21,Noise,Maltodextrin,3.75,6.625,7.5,14.125
skr216_sPIT_Deval_1lever,2,21,Tone,Pellet,5,9,4.75,13.75
skr216_sPIT_Deval_1lever,2,22,Click,Pellet,6,7.375,7.625,15
skr216_sPIT_Deval_1lever,2,22,Noise,Maltodextrin,2,6.5,8.125,14.625
skr216_sPIT_Deval_1lever,2,22,Tone,Sucrose,4,6.375,6.375,12.75
skr216_sPIT_Deval_1lever,2,23,Click,Maltodextrin,4,6.5,7.125,13.625
skr216_sPIT_Deval_1lever,2,23,Noise,Sucrose,2.25,13,6.125,19.125
skr216_sPIT_Deval_1lever,2,23,Tone,Pellet,3.5,5.25,5.75,11
skr216_sPIT_Deval_1lever,2,24,Click,Sucrose,5.5,3,6.625,9.625
skr216_sPIT_Deval_1lever,2,24,Noise,Pellet,5,14.625,4.875,19.5
skr216_sPIT_Deval_1lever,2,24,Tone,Maltodextrin,3.5,3,8.75,11.75
skr216_sPIT_Deval_1lever,2,25,Click,Maltodextrin,4,5.875,6.75,12.625
skr216_sPIT_Deval_1lever,2,25,Noise,Sucrose,3.25,8.375,5.75,14.125
skr216_sPIT_Deval_1lever,2,25,Tone,Pellet,3,10.125,5.375,15.5
skr216_sPIT_Deval_1lever,2,26,Click,Pellet,3,9.25,9,18.25
skr216_sPIT_Deval_1lever,2,26,Noise,Sucrose,2.5,15.75,6.375,22.125
skr216_sPIT_Deval_1lever,2,26,Tone,Maltodextrin,4.5,6.25,6.375,12.625
skr216_sPIT_Deval_1lever,2,27,Click,Sucrose,4,12.375,5.375,17.75
skr216_sPIT_Deval_1lever,2,27,Noise,Pellet,3,11.125,6.125,17.25
skr216_sPIT_Deval_1lever,2,27,Tone,Maltodextrin,3.5,13.25,5,18.25
skr216_sPIT_Deval_1lever,2,28,Click,Maltodextrin,5,3.75,6.5,10.25
skr216_sPIT_Deval_1lever,2,28,Noise,Pellet,4.25,12.625,7.625,20.25
skr216_sPIT_Deval_1lever,2,28,Tone,Sucrose,5,7,6,13
skr216_sPIT_Deval_1lever,2,29,Click,Sucrose,2.75,2.25,10.375,12.625
skr216_sPIT_Deval_1lever,2,29,Noise,Maltodextrin,2.75,10.625,4.5,15.125
skr216_sPIT_Deval_1lever,2,29,Tone,Pellet,2.25,7,5.5,12.5
skr216_sPIT_Deval_1lever,2,30,Click,Pellet,2.5,6.5,10.625,17.125
skr216_sPIT_Deval_1lever,2,30,Noise,Maltodextrin,3.5,7.875,7.875,15.75
skr216_sPIT_Deval_1lever,2,30,Tone,Sucrose,3.5,9.625,6.375,16
skr216_sPIT_Deval_1lever,2,31,Click,Pellet,5.5,6.875,9.25,16.125
skr216_sPIT_Deval_1lever,2,31,Noise,Sucrose,4.75,12.5,5.125,17.625
skr216_sPIT_Deval_1lever,2,31,Tone,Maltodextrin,5,2.5,10.75,13.25
skr216_sPIT_Deval_1lever,2,32,Click,Sucrose,4.25,5.5,5.875,11.375
skr216_sPIT_Deval_1lever,2,32,Noise,Maltodextrin,5.25,9.875,3.25,13.125
skr216_sPIT_Deval_1lever,2,32,Tone,Pellet,3.75,8.5,5.25,13.75
skr216_sPIT_Deval_1lever,3,9,Click,Maltodextrin,2.75,7.375,6.75,14.125
skr216_sPIT_Deval_1lever,3,9,Noise,Sucrose,5.5,10.25,6.5,16.75
skr216_sPIT_Deval_1lever,3,9,Tone,Pellet,3,7.625,5.625,13.25
skr216_sPIT_Deval_1lever,3,10,Click,Pellet,4.75,8,4.75,12.75
skr216_sPIT_Deval_1lever,3,10,Noise,Sucrose,4,3.75,7.625,11.375
skr216_sPIT_Deval_1lever,3,10,Tone,Maltodextrin,2.5,8.5,5.375,13.875
skr216_sPIT_Deval_1lever,3,11,Click,Sucrose,5,6.375,7.75,14.125
skr216_sPIT_Deval_1lever,3,11,Noise,Pellet,4.5,14.875,5.375,20.25
skr216_sPIT_Deval_1lever,3,11,Tone,Maltodextrin,3.75,7.25,5.125,12.375
skr216_sPIT_Deval_1lever,3,12,Click,Maltodextrin,5,10.5,3.625,14.125
skr216_sPIT_Deval_1lever,3,12,Noise,Pellet,4.5,14.75,6,20.75
skr216_sPIT_Deval_1lever,3,12,Tone,Sucrose,3.75,9.375,5.125,14.5
skr216_sPIT_Deval_1lever,3,13,Click,Sucrose,4,1.375,9,10.375
skr216_sPIT_Deval_1lever,3,13,Noise,Maltodextrin,4.75,5.75,8.375,14.125
skr216_sPIT_Deval_1lever,3,13,Tone,Pellet,3.75,0.5,10.5,11
skr216_sPIT_Deval_1lever,3,14,Click,Pellet,5.75,12,3.875,15.875
skr216_sPIT_Deval_1lever,3,14,Noise,Maltodextrin,3.25,8.25,6.875,15.125
skr216_sPIT_Deval_1lever,3,14,Tone,Sucrose,4,7.625,5,12.625
skr216_sPIT_Deval_1lever,3,15,Click,Pellet,4.5,6.25,6,12.25
skr216_sPIT_Deval_1lever,3,15,Noise,Sucrose,2.75,6.375,6.375,12.75
skr216_sPIT_Deval_1lever,3,15,Tone,Maltodextrin,4.5,3.125,4.75,7.875
skr216_sPIT_Deval_1lever,3,16,Click,Sucrose,2.75,7.25,6.25,13.5
skr216_sPIT_Deval_1lever,3,16,Noise,Maltodextrin,3.25,12.375,6,18.375
skr216_sPIT_Deval_1lever,3,16,Tone,Pellet,5.25,12.125,4.25,16.375
skr216_sPIT_Deval_1lever,3,17,Click,Maltodextrin,3,12.5,4.125,16.625
skr216_sPIT_Deval_1lever,3,17,Noise,Sucrose,3,17,5.125,22.125
skr216_sPIT_Deval_1lever,3,17,Tone,Pellet,2.75,9,4.875,13.875
skr216_sPIT_Deval_1lever,3,18,Click,Pellet,3.25,9.25,3.875,13.125
skr216_sPIT_Deval_1lever,3,18,Noise,Sucrose,3.5,14.625,1.5,16.125
skr216_sPIT_Deval_1lever,3,18,Tone,Maltodextrin,3,10.125,2.875,13
skr216_sPIT_Deval_1lever,3,19,Click,Sucrose,4.5,9.25,3.75,13
skr216_sPIT_Deval_1lever,3,19,Noise,Pellet,4.5,22,2.5,24.5
skr216_sPIT_Deval_1lever,3,19,Tone,Maltodextrin,4,6.375,4,10.375
skr216_sPIT_Deval_1lever,3,20,Click,Maltodextrin,5.25,-1.75,10.875,9.125
skr216_sPIT_Deval_1lever,3,20,Noise,Pellet,3.75,10,11.75,21.75
skr216_sPIT_Deval_1lever,3,20,Tone,Sucrose,3.5,4.875,8.375,13.25
skr216_sPIT_Deval_1lever,3,21,Click,Sucrose,4,11.125,4.5,15.625
skr216_sPIT_Deval_1lever,3,21,Noise,Maltodextrin,3.75,14,5.875,19.875
skr216_sPIT_Deval_1lever,3,21,Tone,Pellet,4.75,11.5,3.75,15.25
skr216_sPIT_Deval_1lever,3,22,Click,Pellet,5.25,12.75,6.125,18.875
skr216_sPIT_Deval_1lever,3,22,Noise,Maltodextrin,3.75,9.75,4.375,14.125
skr216_sPIT_Deval_1lever,3,22,Tone,Sucrose,5.5,4,6.125,10.125
skr216_sPIT_Deval_1lever,3,23,Click,Maltodextrin,3.75,8.5,3.625,12.125
skr216_sPIT_Deval_1lever,3,23,Noise,Sucrose,5.5,10,5.375,15.375
skr216_sPIT_Deval_1lever,3,23,Tone,Pellet,4.75,8.125,3.25,11.375
skr216_sPIT_Deval_1lever,3,24,Click,Sucrose,3.5,4.875,4.875,9.75
skr216_sPIT_Deval_1lever,3,24,Noise,Pellet,3.75,15.5,2.5,18
skr216_sPIT_Deval_1lever,3,24,Tone,Maltodextrin,3.5,6,5.125,11.125
skr216_sPIT_Deval_1lever,3,25,Click,Maltodextrin,3,6.5,5.25,11.75
skr216_sPIT_Deval_1lever,3,25,Noise,Sucrose,3.75,10,5.875,15.875
