Pairing,Date,InjectionNum,Weight,Experiment,Box,Rat,Liquid,Injection,Vol,Pre,Post,Consumed (g)
2,16-07-15,3,340,LiCl,1,1,Sucrose,LiCl,5.1,186.99,178.22,8.77
2,16-07-15,3,377,LiCl,2,2,Sucrose,LiCl,5.655,186.97,180.13,6.84
2,16-07-15,3,361,LiCl,3,3,Sucrose,LiCl,5.415,179.83,172.46,7.37
2,16-07-15,3,368,LiCl,4,4,Sucrose,LiCl,5.52,172.55,164.25,8.3
2,16-07-15,3,390,LiCl,5,5,Maltodextrin,LiCl,5.85,181.3,172.48,8.82
2,16-07-15,3,352,LiCl,6,6,Maltodextrin,LiCl,5.28,179.38,170.59,8.79
2,16-07-15,3,330,LiCl,7,7,Maltodextrin,LiCl,4.95,170.24,162.37,7.87
2,16-07-15,3,340,LiCl,8,8,Maltodextrin,LiCl,5.1,183.65,175.7,7.95
2,16-07-15,3,352,LiCl,1,9,Sucrose,Saline,5.28,182.61,169,13.61
2,16-07-15,3,371,LiCl,2,10,Sucrose,Saline,5.565,194.89,177.84,17.05
2,16-07-15,3,356,LiCl,3,11,Sucrose,Saline,5.34,182.76,162.98,19.78
2,16-07-15,3,305,LiCl,4,12,Sucrose,Saline,4.575,192.98,177.98,15
2,16-07-15,3,354,LiCl,5,13,Maltodextrin,Saline,5.31,188.11,174.96,13.15
2,16-07-15,3,342,LiCl,6,14,Maltodextrin,Saline,5.13,183.66,165.8,17.86
2,16-07-15,3,367,LiCl,7,15,Maltodextrin,Saline,5.505,191.58,182.77,8.81
2,16-07-15,3,337,LiCl,8,16,Maltodextrin,Saline,5.055,166.21,153.23,12.98
2,17-07-15,4,340,LiCl,1,1,Maltodextrin,Saline,5.1,172.43,152.31,20.12
2,17-07-15,4,377,LiCl,2,2,Maltodextrin,Saline,5.655,170.55,155.48,15.07
2,17-07-15,4,361,LiCl,3,3,Maltodextrin,Saline,5.415,162.35,143.49,18.86
2,17-07-15,4,368,LiCl,4,4,Maltodextrin,Saline,5.52,175.68,161.44,14.24
2,17-07-15,4,390,LiCl,5,5,Sucrose,Saline,5.85,178.2,160.09,18.11
2,17-07-15,4,352,LiCl,6,6,Sucrose,Saline,5.28,180.12,157.43,22.69
2,17-07-15,4,330,LiCl,7,7,Sucrose,Saline,4.95,172.39,154.39,18
2,17-07-15,4,340,LiCl,8,8,Sucrose,Saline,5.1,164.24,141.99,22.25
2,17-07-15,4,352,LiCl,1,9,Maltodextrin,LiCl,5.28,174.94,165.41,9.53
2,17-07-15,4,371,LiCl,2,10,Maltodextrin,LiCl,5.565,165.78,160.31,5.47
2,17-07-15,4,356,LiCl,3,11,Maltodextrin,LiCl,5.34,182.77,176.82,5.95
2,17-07-15,4,305,LiCl,4,12,Maltodextrin,LiCl,4.575,153.22,143.24,9.98
2,17-07-15,4,354,LiCl,5,13,Sucrose,LiCl,5.31,168.88,163.75,5.13
2,17-07-15,4,342,LiCl,6,14,Sucrose,LiCl,5.13,177.79,173.23,4.56
2,17-07-15,4,367,LiCl,7,15,Sucrose,LiCl,5.505,162.96,158.21,4.75
2,17-07-15,4,337,LiCl,8,16,Sucrose,LiCl,5.055,176.9,171.91,4.99
