Subject,Devaluation,Trial Structure,same_diff,Devalued Pavlovian US?,lever Presses
1,Devalued,CS,Different,Non-Devalued,0.8333333333333334
1,Devalued,CS,General,General,1
1,Devalued,CS,Same,Devalued,4.583333333333334
1,Devalued,PreCS,PreCS,PreCS,0.638888888888889
1,Non-Devalued,CS,Different,Devalued,5.666666666666666
1,Non-Devalued,CS,General,General,0.5
1,Non-Devalued,CS,Same,Non-Devalued,1
1,Non-Devalued,PreCS,PreCS,PreCS,1.0833333333333333
2,Devalued,CS,Different,Non-Devalued,3.4166666666666665
2,Devalued,CS,General,General,0.25
2,Devalued,CS,Same,Devalued,6.333333333333334
2,Devalued,PreCS,PreCS,PreCS,0.8333333333333334
2,Non-Devalued,CS,Different,Devalued,11.25
2,Non-Devalued,CS,General,General,0.16666666666666669
2,Non-Devalued,CS,Same,Non-Devalued,1.5833333333333335
2,Non-Devalued,PreCS,PreCS,PreCS,1.277777777777778
3,Devalued,CS,Different,Non-Devalued,0.5
3,Devalued,CS,General,General,8.166666666666668
3,Devalued,CS,Same,Devalued,0.16666666666666669
3,Devalued,PreCS,PreCS,PreCS,1.6111111111111112
3,Non-Devalued,CS,Different,Devalued,0
3,Non-Devalued,CS,General,General,0
3,Non-Devalued,CS,Same,Non-Devalued,1.1666666666666667
3,Non-Devalued,PreCS,PreCS,PreCS,0.5
4,Devalued,CS,Different,Non-Devalued,2.25
4,Devalued,CS,General,General,1.75
4,Devalued,CS,Same,Devalued,2.25
4,Devalued,PreCS,PreCS,PreCS,0.75
4,Non-Devalued,CS,Different,Devalued,0.08333333333333334
4,Non-Devalued,CS,General,General,2.25
4,Non-Devalued,CS,Same,Non-Devalued,3.5
4,Non-Devalued,PreCS,PreCS,PreCS,1.527777777777778
5,Devalued,CS,Different,Non-Devalued,0.25
5,Devalued,CS,General,General,0
5,Devalued,CS,Same,Devalued,4.583333333333333
5,Devalued,PreCS,PreCS,PreCS,0.4722222222222222
5,Non-Devalued,CS,Different,Devalued,9.166666666666666
5,Non-Devalued,CS,General,General,2.1666666666666665
5,Non-Devalued,CS,Same,Non-Devalued,2.9166666666666665
5,Non-Devalued,PreCS,PreCS,PreCS,2.4722222222222223
6,Devalued,CS,Different,Non-Devalued,1.1666666666666667
6,Devalued,CS,General,General,0.25
6,Devalued,CS,Same,Devalued,2
6,Devalued,PreCS,PreCS,PreCS,1.4166666666666665
6,Non-Devalued,CS,Different,Devalued,4.916666666666666
6,Non-Devalued,CS,General,General,1
6,Non-Devalued,CS,Same,Non-Devalued,1.4166666666666665
6,Non-Devalued,PreCS,PreCS,PreCS,1.6666666666666667
7,Devalued,CS,Different,Non-Devalued,3
7,Devalued,CS,General,General,1.0833333333333333
7,Devalued,CS,Same,Devalued,0.33333333333333337
7,Devalued,PreCS,PreCS,PreCS,1.1388888888888888
7,Non-Devalued,CS,Different,Devalued,0.25
7,Non-Devalued,CS,General,General,2.9166666666666665
7,Non-Devalued,CS,Same,Non-Devalued,3.583333333333333
